"lon","lat","vege","score"
-119.25,37.75,"Mountain vegetation",24
-119.25,37.75,"Mountain vegetation",19
-119.25,37.75,"Mountain vegetation",19.5
-119.25,37.75,"Mountain vegetation",28.5
-119.25,37.75,"Mountain vegetation",24
-119.25,37.75,"Mountain vegetation",24
-119.25,37.75,"Mountain vegetation",23.5
-119.25,37.75,"Mountain vegetation",14.5
-119.25,37.75,"Mountain vegetation",37.5
-119.25,37.75,"Mountain vegetation",33
-119.25,37.75,"Mountain vegetation",28.5
-119.25,37.75,"Mountain vegetation",18.5
-119.25,37.75,"Mountain vegetation",19
-119.25,37.75,"Mountain vegetation",14
-111.25,32.33,"Desert",14
-109.5,34,"Desert",14.5
-109.55,42.3,"Mountain vegetation",19
-101.35,45.067,"Prairies",22.5
-98.75,44.9,"Prairies",22.5
-98.583,47.1,"Prairies",45.5
-98.75,48.017,"Prairies",37.5
-105.317,55.05,"Boreal Forest",23.5
-95.367,47.15,"Deciduous Forest",50.5
-92.617,46.633,"Conifer/Hardwood",45
-92.433,47.467,"Conifer/Hardwood",38.5
-91.867,47.917,"Conifer/Hardwood",37.5
-95.317,49.2,"Deciduous Forest",40
-99.583,49.833,"Prairies",47.5
-95.25,49.683,"Boreal Forest",36.5
-99.583,49.333,"Prairies",54.5
-95,63.5,"Forest-Tundra",28.5
-97.167,62.5,"Forest-Tundra",28.5
-96,60.5,"Forest-Tundra",28.5
-100.083,61.5,"Forest-Tundra",28.5
-99.333,61.5,"Forest-Tundra",29
-101.54,59.41,"Boreal Forest",33
-103.25,54.69,"Boreal Forest",33
-102.946,54.7471,"Boreal Forest",23.5
-102.946,54.7471,"Boreal Forest",33
-102.946,54.7471,"Boreal Forest",28
-102.946,54.7471,"Boreal Forest",28
-102.946,54.7471,"Boreal Forest",28
-102.946,54.7471,"Boreal Forest",28
-102.946,54.7471,"Boreal Forest",32.5
-95.083,51.25,"Boreal Forest",28.5
-102.671,53.7286,"Boreal Forest",42.5
-102.671,53.7286,"Boreal Forest",42.5
-102.671,53.7286,"Boreal Forest",42.5
-102.671,53.7286,"Boreal Forest",42.5
-102.671,53.7286,"Boreal Forest",42.5
-102.671,53.7286,"Boreal Forest",42.5
-102.671,53.7286,"Boreal Forest",42.5
-101.005,51.73,"Prairies",46
-101.005,51.73,"Prairies",33
-107.27,54.73,"Boreal Forest",23.5
-103.89,50.78,"Prairies",46
-105.41,50.59,"Prairies",37
-105.21,51.08,"Prairies",42
-98.667,55.5,"Boreal Forest",33.5
-96.5,54.667,"Boreal Forest",42.5
-93.717,51.167,"Boreal Forest",23.5
-93.867,51,"Boreal Forest",23.5
-92.567,51.067,"Boreal Forest",23.5
-92.367,51.467,"Boreal Forest",37.5
-91.083,45.067,"Deciduous Forest",44.5
-91.317,45.417,"Deciduous Forest",59
-91.5,45.433,"Deciduous Forest",41.5
-89.683,46.033,"Conifer/Hardwood",45
-89.167,46.033,"Deciduous Forest",42
-88.133,45.917,"Deciduous Forest",46
-88.333,45.783,"Deciduous Forest",40.5
-89.35,45.6,"Deciduous Forest",42
-89.017,45.483,"Deciduous Forest",40.5
-89.25,45.417,"Deciduous Forest",44.5
-89.083,45.017,"Deciduous Forest",49
-89.267,44.883,"Deciduous Forest",49.5
-88.683,44.683,"Prairies",42.5
-87.933,46.867,"Conifer/Hardwood",49
-87.9,46.85,"Conifer/Hardwood",45
-87.833,46.85,"Conifer/Hardwood",40
-87.917,46.833,"Conifer/Hardwood",41
-88,46.783,"Conifer/Hardwood",39
-87.917,46.767,"Conifer/Hardwood",37
-87.933,46.767,"Conifer/Hardwood",29
-87.967,46.75,"Conifer/Hardwood",58.5
-87.95,46.75,"Conifer/Hardwood",38
-87.933,46.75,"Conifer/Hardwood",42
-87.933,46.75,"Conifer/Hardwood",36
-87.967,46.75,"Conifer/Hardwood",49.5
-87.933,46.733,"Conifer/Hardwood",46
-87.967,46.717,"Conifer/Hardwood",33.5
-88.083,46.733,"Conifer/Hardwood",58
-87.85,46.7,"Conifer/Hardwood",29
-87.983,46.683,"Conifer/Hardwood",46.5
-88.017,46.667,"Conifer/Hardwood",49
-88.05,46.617,"Conifer/Hardwood",41.5
-88,46.6,"Conifer/Hardwood",36.5
-87.917,46.75,"Conifer/Hardwood",33.5
-84.7,45.617,"Conifer/Hardwood",52.5
-84.733,45.3,"Conifer/Hardwood",38
-83.95,45.283,"Conifer/Hardwood",39.5
-83.467,45.317,"Conifer/Hardwood",44.5
-84.7,45.05,"Conifer/Hardwood",52.5
-84.3,44.983,"Conifer/Hardwood",42.5
-84.15,45.083,"Conifer/Hardwood",36
-83.8,44.933,"Conifer/Hardwood",47
-85.167,44.633,"Conifer/Hardwood",42.5
-84.6,44.767,"Conifer/Hardwood",47
-84.1,44.733,"Conifer/Hardwood",42.5
-83.4,44.683,"Conifer/Hardwood",34.5
-86,44.433,"Conifer/Hardwood",47
-85.333,44.317,"Conifer/Hardwood",42.5
-83.967,44.417,"Conifer/Hardwood",48.5
-85.833,43.85,"Conifer/Hardwood",38
-84.183,44,"Conifer/Hardwood",37
-83.167,43.983,"Conifer/Hardwood",38
-85.4,43.683,"Conifer/Hardwood",42.5
-84.833,43.467,"Conifer/Hardwood",43
-83.933,43.733,"-99",48
-84.833,43.167,"Deciduous Forest",30
-93.733,49.65,"Conifer/Hardwood",33
-79.833,47.333,"Conifer/Hardwood",22.5
-80.633,48.95,"Boreal Forest",33
-79.717,46.633,"Conifer/Hardwood",28.5
-79.8,46.867,"Conifer/Hardwood",28
-80,46.767,"Conifer/Hardwood",33
-80,46.767,"Conifer/Hardwood",19
-80,46.767,"Conifer/Hardwood",13.5
-80.333,47.117,"Conifer/Hardwood",27.5
-80.333,47.117,"Conifer/Hardwood",32.5
-80,47.233,"Conifer/Hardwood",34.5
-80,47.233,"Conifer/Hardwood",28
-80,47.233,"Conifer/Hardwood",31
-80,47.233,"Conifer/Hardwood",23
-80.5,47.5,"Conifer/Hardwood",23
-60.433,46.05,"Conifer/Hardwood",36.5
-60.383,46.067,"Conifer/Hardwood",30.5
-68.8,46.15,"Conifer/Hardwood",46
-76.133,46.767,"Conifer/Hardwood",23.5
-66.9,47.417,"Conifer/Hardwood",33
-70.467,52.55,"Boreal Forest",33
-70.95,53.133,"Boreal Forest",24
-69.033,53.85,"Boreal Forest",19
-66.9,54.767,"Boreal Forest",14
-66.733,54.8,"Boreal Forest",19
-68.817,55.117,"Boreal Forest",28.5
-65.717,55.383,"Boreal Forest",33.5
-64.733,56.383,"Forest-Tundra",28.5
-65.483,57.483,"Forest-Tundra",29
-68.467,58.15,"Boreal Forest",33.5
-64.467,56.3,"Forest-Tundra",24
-63.567,58.367,"Forest-Tundra",24
-64.967,58.817,"Forest-Tundra",33.5
-70.05,58.967,"Boreal Forest",33.5
-75.5,62.167,"Arctic",33.5
-76.767,43.083,"Deciduous Forest",21.5
-80.5338,37.3602,"Deciduous Forest",19
-79,37.983,"Deciduous Forest",22.5
-79.067,38,"Deciduous Forest",19
-76.533,47.083,"Conifer/Hardwood",23.5
-77.283,47.717,"Conifer/Hardwood",23.5
-77.367,47.933,"Conifer/Hardwood",23.5
-78.1,48.317,"Boreal Forest",37.5
-78.183,48.583,"Boreal Forest",28.5
-79.017,48.583,"Boreal Forest",19
-78.533,48.65,"Boreal Forest",30
-66.033,48.7,"Boreal Forest",23.5
-66.033,48.8,"Boreal Forest",28
-68.933,48.883,"Boreal Forest",33.5
-79.083,49.017,"Boreal Forest",28.5
-68.467,49.35,"Boreal Forest",23.5
-67.6,49.367,"Boreal Forest",36.5
-68.25,49.683,"Boreal Forest",23.5
-68.183,50.033,"Boreal Forest",28.5
-66.3,50.317,"Boreal Forest",40
-68.817,50.367,"Boreal Forest",23.5
-68.833,50.65,"Boreal Forest",27
-68.85,50.983,"Boreal Forest",23.5
-65.933,52.533,"Boreal Forest",24
-65.867,52.6,"Boreal Forest",24
-68.25,44.367,"Deciduous Forest",49.5
-68.25,44.367,"Deciduous Forest",31.5
-63.65,44.55,"Conifer/Hardwood",42.5
-71.85,44.8,"Conifer/Hardwood",35
-72.15,44.867,"Conifer/Hardwood",47.5
-68.133,44.967,"Conifer/Hardwood",44.5
-68.133,44.967,"Conifer/Hardwood",40
-60.783,45.65,"Conifer/Hardwood",30.5
-80.05,36.78,"Deciduous Forest",24
-77.467,38.533,"Deciduous Forest",31.5
-72.33,42.5,"Deciduous Forest",40
-81.1,37.617,"Deciduous Forest",27.5
-69.717,44.55,"Deciduous Forest",56.5
-68.683,45.05,"Conifer/Hardwood",44
-81.867,29.3,"Deciduous Forest",21.5
-67.133,44.717,"Conifer/Hardwood",24
-74.5,39.717,"Deciduous Forest",25
-87.967,46.5,"Conifer/Hardwood",40
-91.717,46.5,"Conifer/Hardwood",45
-92.75,51.217,"Boreal Forest",33
-93.967,51.033,"Boreal Forest",28.5
-93.85,51,"Boreal Forest",28.5
-93.867,51,"Boreal Forest",28
-93.767,50.933,"Boreal Forest",38
-77.133,50.033,"Boreal Forest",28.5
-77.65,50.917,"Boreal Forest",33.5
-77.683,53.567,"Boreal Forest",19
-79.033,53.8,"Boreal Forest",19.5
-71.033,47.617,"Conifer/Hardwood",33.5
-70.9,47.633,"Conifer/Hardwood",33.5
-70.9,47.633,"Conifer/Hardwood",37
-71.233,47.65,"Conifer/Hardwood",37
-64.567,53.967,"Boreal Forest",19
-65.033,53.817,"Boreal Forest",23.5
-64.467,53.6,"Boreal Forest",19
-64.633,53.483,"Boreal Forest",19
-64.75,53.417,"Boreal Forest",19
-64.3,53.6,"Boreal Forest",23.5
-63.883,53.55,"Boreal Forest",23.5
-63.65,53.65,"Boreal Forest",23.5
-63.5,53.717,"Boreal Forest",19
-81.467,50.2,"Boreal Forest",23.5
-82.917,50.267,"Boreal Forest",23.5
-81.867,51.2,"Boreal Forest",23.5
-65.467,66.517,"Arctic",14.5
-65.05,66.683,"Arctic",14.5
-77.767,55.283,"Forest-Tundra",28.5
-77.767,55.283,"Forest-Tundra",28.5
-77.767,55.283,"Forest-Tundra",19
-77.767,55.283,"Forest-Tundra",33
-77.767,55.283,"Forest-Tundra",33.5
-65.717,66.133,"Arctic",19.5
-68.483,63.733,"Arctic",14.5
-68.483,63.733,"Arctic",28.5
-68.3,58.233,"Boreal Forest",28.5
-68.3,58.233,"Boreal Forest",23.5
-68.3,58.233,"Boreal Forest",27
-72.067,58.233,"Boreal Forest",24
-71.083,58.217,"Boreal Forest",24
-71.95,58.217,"Boreal Forest",24
-71.933,58.233,"Boreal Forest",19
-72.017,58.283,"Boreal Forest",24
-72.05,58.267,"Boreal Forest",24
-71.933,58.05,"Forest-Tundra",33
-71.65,57.667,"Forest-Tundra",24
-71.8,57.317,"Boreal Forest",19
-71.9,58.467,"Boreal Forest",19
-71.933,58.7,"Boreal Forest",28.5
-71.717,58.867,"Boreal Forest",28.5
-71.717,58.867,"Boreal Forest",28.5
-70.75,58.483,"Boreal Forest",28.5
-70.2,58.75,"Boreal Forest",33
-69.917,59.183,"Boreal Forest",33
-69.883,59.783,"Forest-Tundra",28.5
-70.767,60.617,"Forest-Tundra",28.5
-75.833,40.067,"Deciduous Forest",45
-75.483,40.333,"Deciduous Forest",31.5
-75.45,42.017,"Deciduous Forest",31.5
-74.05,42.2,"Deciduous Forest",52.5
-74.5,43.433,"Deciduous Forest",47.5
-66.967,47.033,"Conifer/Hardwood",31
-70.4,44.867,"Deciduous Forest",48.5
-81.35,27.206,"Deciduous Forest",14.5
-94.2,31.817,"Prairies",27
-84.867,47.883,"Conifer/Hardwood",23.5
-94.55,46.267,"Deciduous Forest",42
-84.867,47.9,"Conifer/Hardwood",33
-74.017,43.75,"Deciduous Forest",38
-99.917,48.083,"Prairies",37.5
-58.55,53.233,"Boreal Forest",23.5
-78.633,45.8,"Conifer/Hardwood",48.5
-79.117,47.283,"Conifer/Hardwood",24
-72.767,47.467,"Conifer/Hardwood",44.5
-64.7,56.667,"Forest-Tundra",24
-74.4,46.172,"Conifer/Hardwood",32
-67.117,50.13,"Boreal Forest",18.5
-63.65,44.57,"Conifer/Hardwood",40
-73.867,45.961,"Conifer/Hardwood",42
-72.15,48.295,"Boreal Forest",33.5
-74.367,45.945,"Conifer/Hardwood",40
-70.633,45.62,"Conifer/Hardwood",31.5
-68.9,46.083,"Conifer/Hardwood",33.5
-65.55,46.667,"Conifer/Hardwood",44
-67.65,46.583,"Conifer/Hardwood",30
-67.95,46.417,"Conifer/Hardwood",30.5
-68.95,47.4,"Conifer/Hardwood",26.5
-100.883,61.133,"Forest-Tundra",33.5
-97.75,63.283,"Forest-Tundra",29
-96,64.3,"Arctic",38
-91.367,66.9,"Arctic",33.5
-83.25,68.533,"Arctic",14.5
-68.333,70.5,"Arctic",14.5
-63.883,59.55,"Arctic",33
-64.183,59.467,"Arctic",28.5
-63.067,58.2,"Forest-Tundra",28.5
-63.75,58.633,"Arctic",28.5
-64.033,58.367,"Forest-Tundra",28.5
-64.117,59.183,"Arctic",28.5
-63.95,58.267,"Forest-Tundra",28.5
-62.567,57.917,"Forest-Tundra",28.5
-68.417,58.083,"Boreal Forest",28.5
-63.55,58.367,"Forest-Tundra",28.5
-65.25,57.5,"Forest-Tundra",23.5
-65.767,58.183,"Forest-Tundra",19
-65.383,58.683,"Forest-Tundra",28.5
-73.1495,42.2843,"Deciduous Forest",52.5
-73.3188,42.3351,"Deciduous Forest",48
-119.55,49.03,"Mountain vegetation",24
-132.12,54.85,"Coastal",24
-118.07,52.88,"Mountain vegetation",15
-113.25,53.57,"Prairies",33
-112.95,52.77,"Prairies",38.5
-111.85,52.2,"Prairies",34
-113.15,53.97,"Boreal Forest",33
-113.88,52.18,"Prairies",37.5
-113.32,52.9,"Prairies",34
-113.98,51.8,"Prairies",42.5
-113.53,50.1,"Prairies",19
-113.38,49.73,"Prairies",33.5
-113.25,50.58,"Prairies",43
-114.17,51.12,"Prairies",47.5
-113.42,51.38,"Prairies",47
-111.92,51.63,"Prairies",33.5
-111.05,51.48,"Prairies",28.5
-115.42,53,"Boreal Forest",20
-115.88,52.98,"Boreal Forest",15
-116.63,53.98,"Boreal Forest",25
-118.08,53.03,"Mountain vegetation",20
-116.73,53.57,"Boreal Forest",20
-115.67,53.62,"Boreal Forest",43
-114.55,51.22,"Prairies",34
-115.13,50.7,"Mountain vegetation",24.5
-115,50.6,"Prairies",20
-114.58,49.73,"Prairies",24.5
-113.93,49.52,"Prairies",29.5
-113.52,49.45,"Prairies",34
-113.48,51.05,"Prairies",33.5
-112.67,50.83,"Prairies",43
-112.23,50.7,"Prairies",34
-111.57,50.45,"Prairies",33.5
-110.62,50.03,"Prairies",33.5
-110.12,49.65,"Prairies",29.5
-109.73,49.65,"Prairies",33.5
-110.6,49.48,"Prairies",29
-111.45,49.47,"Prairies",29
-112.18,49.6,"Prairies",40.5
-113.08,49.83,"Prairies",19.5
-115.37,54.07,"Boreal Forest",29.5
-116.37,54.3,"Boreal Forest",33.5
-117.08,54.67,"Boreal Forest",37.5
-118.62,55.23,"Boreal Forest",29.5
-117.23,55.45,"Boreal Forest",29.5
-115.63,55.32,"Boreal Forest",29.5
-113.53,49.15,"Mountain vegetation",33
-114.43,50.13,"Prairies",29
-115,51.12,"Mountain vegetation",25
-113.25,51.95,"Prairies",38
-112.08,53.48,"Prairies",38.5
-111.1,53.33,"Prairies",33.5
-108.8,52.97,"Prairies",38.5
-108.33,52.77,"Prairies",47
-107.35,52.43,"Prairies",38.5
-106.82,52.35,"Prairies",38.5
-106.38,51.52,"Prairies",33.5
-105.63,50.9,"Prairies",29
-110.42,51.73,"Prairies",29
-117.2,52.9,"Mountain vegetation",29.5
-114.15,53.22,"Prairies",41.5
-117.57,53.4,"Mountain vegetation",28.5
-117.47,55.07,"Boreal Forest",28.5
-112.25,51.4,"Prairies",38.5
-119.5,50.27,"Mountain vegetation",20
-126.53,49.38,"Coastal",28.5
-115.7,50.14,"Mountain vegetation",19.5
-115.7,49.82,"Mountain vegetation",20
-115.26,49.68,"Mountain vegetation",15
-116,50.68,"Mountain vegetation",15
-116.98,49.68,"Mountain vegetation",10
-116.96,50.39,"Mountain vegetation",28.5
-116.35,50.87,"Mountain vegetation",24.5
-116.39,50.87,"Mountain vegetation",15
-122.65,49.28,"Coastal",23.5
-122.6,49.3,"Coastal",18
-130.3,54.35,"Coastal",29
-129.47,53.45,"Coastal",19
-127.916,50.85,"Coastal",23.5
-127.9167,50.85,"Coastal",33.5
-127.4167,50.7333,"Coastal",28.5
-126.43,50.56,"Coastal",33.5
-129.58,54.47,"Coastal",36.5
-124.55,49.32,"Coastal",20
-128.58,54.72,"Mountain vegetation",13.5
-130.17,54.17,"Coastal",32
-127.37,54.37,"Mountain vegetation",15
-124.5,55.97,"Boreal Forest",24.5
-121.4,53.3,"Mountain vegetation",24.5
-119.85,51.75,"Mountain vegetation",19.5
-122.82,51.73,"Mountain vegetation",15
-127.38,50.68,"Coastal",33
-121.33,51.3,"Mountain vegetation",20
-121.25,50.62,"Mountain vegetation",33.5
-115.17,49.17,"Mountain vegetation",24.5
-121.17,56.25,"Boreal Forest",38
-132.12,54,"Coastal",28.5
-130.08,54.23,"Coastal",23.5
-130.0333,54.25,"Coastal",24
-128.28,52.48,"Coastal",28.5
-127.87,51.7,"Coastal",28.5
-104.78,40.97,"Desert",19
-119.5,49.24,"Mountain vegetation",42
-81.6,46.73,"Conifer/Hardwood",27
-80.78,46.62,"Conifer/Hardwood",37.5
-112,42.33,"Mountain vegetation",28.5
-112.48,54.73,"Boreal Forest",38
-119.57,49.27,"Mountain vegetation",38
-98.85,54.7,"Boreal Forest",14
-96.57,50.47,"-99",43
-100.37,51.27,"Prairies",54.5
-99.08,51.15,"Deciduous Forest",51
-100.8,51.6,"Prairies",46
-99.32,51.88,"Boreal Forest",47.5
-99.58,51.57,"Deciduous Forest",47.5
-97.52,49.94,"Prairies",50.5
-98.54,49.54,"Prairies",54.5
-103.42,43.15,"Prairies",19
-58.83,48.53,"Boreal Forest",42.5
-58.65,48.37,"Boreal Forest",28.5
-58.63,48.55,"Boreal Forest",28.5
-58.42,48.55,"Boreal Forest",42
-57.28,50.67,"Boreal Forest",28.5
-55.07,49.23,"Boreal Forest",23.5
-53.18,48.45,"Boreal Forest",28.5
-53.73,48.63,"Boreal Forest",23.5
-53.07,47.33,"Boreal Forest",28.5
-53.42,47.18,"Boreal Forest",24.5
-57.5,50.4,"Boreal Forest",28.5
-64.1,53.55,"Boreal Forest",9.5
-52.87,47.6,"Boreal Forest",24.5
-57.71,49.69,"Boreal Forest",29
-57.78,49.69,"Boreal Forest",33.5
-57.77,49.69,"Boreal Forest",33.5
-60.43,53.32,"Forest-Tundra",23.5
-58.55,48.53,"Boreal Forest",28.5
-53.52,47.4,"Boreal Forest",28.5
-52.63,47.52,"Boreal Forest",28.5
-53.5,47.75,"Boreal Forest",28.5
-53.62,46.87,"Boreal Forest",28.5
-53.23,47.32,"Boreal Forest",28.5
-127.75,65.52,"Boreal Forest",20
-128.57,65.68,"Boreal Forest",19
-127.05,65.22,"Boreal Forest",23.5
-127.18,65.2,"Boreal Forest",23.5
-121.23,61.08,"Boreal Forest",28.5
-114.45,62.47,"Boreal Forest",23.5
-96.25,63.67,"Forest-Tundra",38
-121.37,61.63,"Boreal Forest",24
-133.53,68.53,"Boreal Forest",33
-101.06,66.08,"Arctic",38
-100.95,61.25,"Forest-Tundra",23.5
-118.03,66.08,"-99",28.5
-127.12,65.13,"Boreal Forest",14
-126.33,65.58,"Boreal Forest",14
-122.67,61.8,"Boreal Forest",24
-97.35,67.37,"Arctic",29
-64.05,67.55,"Arctic",14.5
-90.5,79.42,"Arctic",14.5
-83.37,64.2,"Arctic",24
-133.53,68.32,"Boreal Forest",9
-96.25,63.67,"Forest-Tundra",38
-75.4404,42.582,"Deciduous Forest",42.5
-75.85,43.33,"Deciduous Forest",38
-81.46,44.06,"Deciduous Forest",43
-79.97,44.85,"Deciduous Forest",42.5
-78.3,45.02,"Deciduous Forest",37
-77.3,45.13,"Deciduous Forest",38
-80.71,46.05,"Deciduous Forest",19
-78.04,44.6,"Deciduous Forest",49
-77.85,45.18,"Deciduous Forest",52
-78.88,46.25,"Conifer/Hardwood",28.5
-76.5,44.83,"Deciduous Forest",41
-77.15,44.85,"Deciduous Forest",31.5
-80.27,43.42,"Deciduous Forest",35
-80.3,43.26,"Deciduous Forest",40
-80.65,51.27,"Boreal Forest",28.5
-80.38,43.28,"Deciduous Forest",40
-80.33,43.29,"Deciduous Forest",40
-80.13,43.42,"Deciduous Forest",31
-77.17,44.77,"Deciduous Forest",44
-77.17,44.78,"Deciduous Forest",39.5
-77.17,44.79,"Deciduous Forest",36
-77.13,44.82,"Deciduous Forest",34
-81.33,48.4,"Boreal Forest",28
-81.25,49.18,"Boreal Forest",28.5
-78.68,44.82,"Deciduous Forest",36.5
-77.82,45.07,"Deciduous Forest",48.5
-77.82,45.37,"Deciduous Forest",39
-79.44,45.89,"Conifer/Hardwood",42
-77.83,45.85,"Conifer/Hardwood",37
-81.87,45.7,"-99",35.5
-81.68,46.3,"Conifer/Hardwood",46.5
-80.8,46.3,"Conifer/Hardwood",28.5
-80.41,45.68,"Deciduous Forest",28
-80.16,45.55,"Deciduous Forest",40.5
-78.13,44.2,"Deciduous Forest",43
-82.77,46.52,"Conifer/Hardwood",36
-83.75,47.87,"Conifer/Hardwood",32
-83.13,46.97,"Conifer/Hardwood",22.5
-82.28,48.22,"Boreal Forest",28
-65.47,53.67,"Boreal Forest",28.5
-67.11,53.92,"Boreal Forest",18.5
-64.35,53.62,"Boreal Forest",23.5
-64.73,55.93,"Boreal Forest",24
-64.73,56.02,"Boreal Forest",27
-64.72,56.08,"Boreal Forest",19
-64.78,56.55,"Forest-Tundra",19
-64.87,56.78,"Forest-Tundra",24
-68.4,58.1,"Boreal Forest",33.5
-74.42,49.82,"Boreal Forest",23.5
-70.9,53.2,"Boreal Forest",24
-64.8,56.78,"Forest-Tundra",19
-77.68,46.28,"Conifer/Hardwood",26
-119.65,49.03,"Mountain vegetation",43
-103.38,45.82,"Prairies",33.5
-103.38,45.82,"Prairies",24
-103.88,44.42,"Prairies",41
-103.92,44.27,"Prairies",24
-102.05,45.03,"Prairies",19
-102.17,45.4,"Prairies",19
-119.72,49.32,"Mountain vegetation",42
-123.4189,47.3898,"Coastal",23
-122.37,48.98,"Coastal",38
