,Pinus,Quercus,Picea,Betula,Alnus,Tsuga,Cupress,Fagus,Ulmus,Abies,Fraxinus,Salix,Poaceae,Cyperaceae,Artemisia,ChenAm
0,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.001998002,0.000999001,0.004995005,0.004995005,0.003996004,0.003996004,0.000999001,0.000999001,0.000999001,0.002997003,0.000999001
2,0.000999001,0.000999001,0.002997003,0.002997003,0.000999001,0.000999001,0.004995005,0.000999001,0.002997003,0.001998002,0.000999001,0.001998002,0.000999001,0.000999001,0.000999001,0.000999001
6,0.001998002,0.000999001,0.000999001,0.000999001,0.000999001,0.006993007,0.001998002,0.001998002,0.00999001,0.000999001,0.005994006,0.014985015,0.000999001,0.001998002,0.018981019,0.011988012
10,0.004995005,0.000999001,0.002997003,0.001998002,0.000999001,0.000999001,0.030969031,0.238761239,0.051948052,0.005994006,0.061938062,0.005994006,0.002997003,0.007992008,0.003996004,0.008991009
14,0.000999001,0.005994006,0.001998002,0.076923077,0.000999001,0.143856144,0.001998002,0.008991009,0.028971029,0.021978022,0.036963037,0.003996004,0.002997003,0.001998002,0.003996004,0.000999001
,5,5,5,4,5,5,4.5,4.25,3.5,4.5,3.5,4.5,5,5,4.5,4.5
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,